Liman Adı,Tarih,Şehir,İlçe,Saat,Sıcaklık,Rüzgar,Rüzgar yönü,Basınç,Nem
ÇARŞIBAŞI/IŞIKLI YAROZ FENERİ,06 Eylül,Trabzon,Çarşıbaşı,10.06,25.7,4.5,Batıdan,1005.6,71
BODRUM/HÜSEYİNBURNU FENERİ,06 Eylül,Muğla,Bodrum,10.06,26.2,10.9,Kuzeybatıdan,1010.9,73
DATÇA/DEVEBOYNU FENERİ,06 Eylül,Muğla,Datça,10.06,28.7,18.7,Kuzeyden,1009.7,46
FETHİYE/İBLİSBURNU DÖKÜNTÜTAŞ FENERİ,06 Eylül,Muğla,Fethiye,10.06,29.0,2.7,Kuzeyden,1009.8,54
KAŞ BAYINDIR ANA MENDİREK FENER,06 Eylül,Antalya,Kaş,10.06,29.6,2.7,Batıdan,1008.5,56
FİNİKE BALIKÇI BARINAĞI ANA MENDİREK FENER,06 Eylül,Antalya,Finike,10.06,28.4,3.1,Doğudan,1007.5,58
KONYAALTI/ANTALYA YENİ LİMAN ANA MENDİREK FENER,06 Eylül,Antalya,Konyaaltı,10.06,29.4,0.4,Batıdan,1006.0,59
ARSUZ/AKINCI BURNU FENERİ,06 Eylül,Hatay,Arsuz,10.06,27.1,8.2,Güneyden,-99,77
KONAK/ALSANCAK LİMAN FENERİ,06 Eylül,İzmir,Konak,10.06,29.3,11.5,Doğudan,-99,32
FOÇA TRAFİK GÖZETLEME KEGM,06 Eylül,İzmir,Foça,10.06,25.7,8.9,Kuzeyden,1012.1,54
ALİAĞA TRAFİK GÖZETLEME KEGM,06 Eylül,İzmir,Aliağa,10.06,26.1,20.8,Kuzeydoğudan,1009.4,60
ERDEMLİ DENİZ BİLİMLERİ ENSTİTÜSÜ,06 Eylül,Mersin,Erdemli,10.06,28.6,5.6,Doğudan,1007.4,73
DİDİM MARİNA FENER,06 Eylül,Aydın,Didim,10.06,30.3,16.1,Kuzeybatıdan,1009.6,32
SEFERİHİSAR/SIĞACIK MARİNA FENERİ,06 Eylül,İzmir,Seferihisar,10.06,29.0,13.0,Kuzeyden,1011.7,38
